,url,city,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,image_url,lat,long,county_fips,county_name,state_fips,state_code,state_name,weather
681368,https://losangeles.craigslist.org/sgv/cto/d/2013-volkswagen-cc/6750054537.html,losangeles,8500,2013.0,volkswagen,cc,,,gas,83000.0,clean,automatic,,,,,,https://images.craigslist.org/01414_4xXCFhdl9r4_600x450.jpg,34.0066,-117.8098,6037.0,Los Angeles,6.0,CA,California,59.0
681369,https://losangeles.craigslist.org/sgv/cto/d/2012-honda-accord-exmile/6750081412.html,losangeles,8500,2012.0,honda,accord,like new,4 cylinders,gas,27000.0,rebuilt,automatic,,,,,white,https://images.craigslist.org/00808_7rH9mJhZMcd_600x450.jpg,34.1617,-118.0528,6037.0,Los Angeles,6.0,CA,California,59.0
681370,https://losangeles.craigslist.org/wst/cto/d/2005-ford-ranger-1000/6750092124.html,losangeles,10000,2005.0,ford,ranger,excellent,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00d0d_exFR69TbqUX_600x450.jpg,34.0245,-118.1561,6037.0,Los Angeles,6.0,CA,California,59.0
681371,https://losangeles.craigslist.org/lgb/cto/d/2017-ford-transit-connect-van/6750092632.html,losangeles,23200,2017.0,ford,transit connect,like new,6 cylinders,gas,26439.0,clean,automatic,,fwd,mid-size,van,white,https://images.craigslist.org/00y0y_l2VtjEfvacA_600x450.jpg,33.9056,-118.0818,6037.0,Los Angeles,6.0,CA,California,59.0
681372,https://losangeles.craigslist.org/lac/cto/d/2005-toyota-rav4-silver-color/6750090497.html,losangeles,4500,2005.0,toyota,rav 4,good,,gas,162000.0,salvage,automatic,,,,,,https://images.craigslist.org/00h0h_b873uxreoBD_600x450.jpg,33.9977,-117.9652,6037.0,Los Angeles,6.0,CA,California,59.0
681373,https://losangeles.craigslist.org/wst/cto/d/honda-crv-2006-low-price/6739264318.html,losangeles,1,2006.0,honda,crv,excellent,,gas,140000.0,clean,automatic,,,,,blue,https://images.craigslist.org/00u0u_uspsrNbwWX_600x450.jpg,34.1379,-118.2599,6037.0,Los Angeles,6.0,CA,California,59.0
681374,https://losangeles.craigslist.org/sfv/cto/d/ford-150/6738943762.html,losangeles,4900,2004.0,ford,f-150,good,8 cylinders,gas,173000.0,clean,automatic,,,,,grey,https://images.craigslist.org/00G0G_3IpLbWE3c9u_600x450.jpg,34.139107,-118.258008,6037.0,Los Angeles,6.0,CA,California,59.0
681375,https://losangeles.craigslist.org/wst/cto/d/jeep-commander-limited/6750005328.html,losangeles,1,2006.0,jeep,commander,,,other,,clean,other,,,,,,https://images.craigslist.org/00v0v_2cZgTmQJNAx_600x450.jpg,34.0818,-118.1753,6037.0,Los Angeles,6.0,CA,California,59.0
681376,https://losangeles.craigslist.org/sfv/cto/d/chevrolet-cruze/6734072907.html,losangeles,4900,2011.0,chevrolet,cruze,good,4 cylinders,gas,147000.0,clean,automatic,,fwd,compact,,silver,https://images.craigslist.org/00x0x_jN44kqgEUdP_600x450.jpg,34.139107,-118.258008,6037.0,Los Angeles,6.0,CA,California,59.0
681377,https://losangeles.craigslist.org/sfv/cto/d/2004-bmw-325-nice/6750089438.html,losangeles,3200,2004.0,bmw,325,,,gas,,salvage,automatic,,,,,,https://images.craigslist.org/00j0j_eWTZaXEHa4Y_600x450.jpg,34.150999999999996,-118.3663,6037.0,Los Angeles,6.0,CA,California,59.0
681378,https://losangeles.craigslist.org/lac/cto/d/vendo-carro-toyota-yaris/6750088349.html,losangeles,3500,2010.0,toyota,yaris,good,6 cylinders,gas,140000.0,clean,automatic,1HGBH41JXMN109186,rwd,full-size,other,grey,https://images.craigslist.org/00c0c_kZKjV2FanQc_600x450.jpg,34.0294,-118.2871,6037.0,Los Angeles,6.0,CA,California,59.0
